Round Number,Winner,Depth,Stake,Stake Density,Hash,Reward,MajorityReveal,ReserveCommitments
180359,0x5b6d144f0fb569acbd31ad1ca17333a0fded3815e48a2f94e9d76d0c8bd05368,8,100000000000000000,25600000000000000000,0xde7532fa221218053bce84c094ffaa403075e14f9783bfb93e986cd2259f722f,63248963469312000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
180361,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,27200000000000000000,27200000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,63253593980928000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
180362,0x84d13ef52fc2802a7bfe2356f09717e2e4f8b849261d2657d38b5364671409b4,8,100000000000000000,25600000000000000000,0x149cac1a3f7d9ce5f34f64b569e0deac7ea3a337fd0031f53287a086ec470a73,126921920741376000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
180363,0x5f436ced7c09a5b11ed5485e0d4e704f871e32b98564f3b0c36314032476ce08,8,100000000000000000,25600000000000000000,0xfa048c4df98e76ede68bfd04fa7a55b0c9cef09ff650dc142e6a027d2e1272f5,62416956162048000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
180366,0x2bed7c48ae2de996c79fc10ddf2382a98f8392912970344701a621c1ada23ab2,8,100000000000000000,25600000000000000000,0x9a7421f8b69c73ab2419de0b5b01c1fd1a7c693e3c03154fdf62e2eb42c585c8,62001418076160000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
180367,0xffbbc3f309d3bfbe39a9c5ad65e2e3b0095b6f2c487424698059ffbf1b465c79,8,100000000000000000,25600000000000000000,0x2bf2fbc9f1747eb787b7ef48531d843c38f5667e8ab4da9499fa204d3d198bf8,64919068213248000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
180368,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,25600000000000000000,25600000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,62008917491712000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
180369,0xe5c68c04deb5b290f124ed4b8616ad27bfa38e05223acb5d740ee4749fb535fb,8,100000000000000000,25600000000000000000,0x6be842b1069988c7f0f7d1e153aca9ba76ba03c1a1bcf1296464958e110aa019,125682503909376000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
180370,0xe140282dfced3bedc40bdffb899f0e146a285cb758139a020bf79b9d91d55c49,8,100000000000000000,25600000000000000000,0x6ef72c9188ef3732e583aab5d20cd1f91beb261feea79f9d31796c01730a152e,65338255343616000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
180372,0x77e187b007e89121e191302514df5af16ab8bf7aa4e313b3214727e277eb86dd,8,100000000000000000,25600000000000000000,0x508aa1aea2f89f7f3e80d0172f2e1862c5b930d99a232d3ad6bf2fa7974bfe87,64917633761280000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
